account	userType	voiBalance	viaBalance
FNCFQU67HCG7KPTZ46LCTUPANOCCWF4NMWFOVNCXTILYYDZ7BLVDJV5KGU	snapshot	3800609336404	0
ILEP234YO65JYZTJH4ZEFFBLVTGIRJJNN4GNFNY3SGTEG7OYHWER3ZBX3A	snapshot	3736247910003	61486426222
7LQYW6WEGLLTFIBQJUOS53E232ER6LQEQUGSZZQSVCLMGMAYRPVCA3YJ5A	snapshot	3794780536432	0
SL7FKCMPOY2SBWHWANY37X26FQZJW67U7ZC2ZA5UK7GAZIXPB3UX6ED2PE	snapshot	3792954894579	0
7PFIOEFDGZKKAIZCTQKN6ATYN5T5ZJJXSTYA2Q62DMQMTG46MMC2Y2MTAI	snapshot	3784211700217	5632449299
SNEV5QYQWGCMIHGVZPCC3FNJVIGNPYDYO5JZOVOUNG7M4ZXJSEVLBRMQQM	snapshot	3784635016179	0
3ENZ5UAFXUENSBQ6VEBDJGDLGQMSRH7KJUBZAQBPAYCIXZ6M5UEXIKB6NE	snapshot	3759410202193	18122393240
REH5VX6LVS22T2ZIR6ZAWOR2X2ZLWJVG3TISA5P3PUDL2PTZRGVBAR7YSE	snapshot	3774203587402	2534444118
HYTD36W54AJNNSCHBNQGD4GQW7VWLV7LEGDCDZYSLT34ZDMRTI3MJ2WGFE	snapshot	3773813936021	0
TX3YK7JVETVYV6MVHTVD6QOKQIVCT3U7PJFD2OPYYRDLKVIXVKHTI5G54A	snapshot	3764734350701	8000000000
RZEWMEZRILPNDSOSWHAY57SHCVQ57NCFZAO7GVGABZHRZ5XPJ2WD2UBZW4	snapshot	3749930225189	16627058459
ELMDY3QPR4T7ZN7RJMKKWNNWVVRU2OMDCJY3YSCLTLOVVNPSTZFRTWAJRE	snapshot	3753763760414	1032444118
VMMV4O5KEGGS7WVM74GPNHFM5B5YS6JZKJWFAKCHNY3Q3FEYBBSIMF5FWU	snapshot	3752501253350	0
IDW55M5V37PLY3BZIH5PQYP6TL7WTM2W5EYYKRX77LB7XXWE3UZ2D5FHMY	snapshot	5892832	3749986005182
FREELANCINGOQPXOXN5CPEY7FDBGI6YPOPIA22RKB75T5JPWGGUIARBC3Q	snapshot	3746880186484	0
6LXSH3M7ORCKFU6EASJKZ5BEOKGLPA3W5FVMR3MOZBQT5ASJXHDWX5BPE4	snapshot	3741054208118	1032444118
ZLLIDP6ORXXQVBTSWSIFI2GNG4PYGT2LOPQ57UWGCXEGPGC3XLB2GEKP3E	snapshot	3723851295633	0
QLE5ZQK7UO3WUBYQH4WW3W36MME5MRDUOYBXA3YCRXKHUNEFM6ABQWLAJY	snapshot	3568084715467	146248965125
IBJBM2RBHYM6XADFFQEJWXIZRHTCUT5NVPR5VXPFYHY7JQZC3AP3R3D7KA	snapshot	3693469828985	16391325581
TNTSFV2C6ZI3JY2GIFHF2OAA2BXSIJBGECENJV5DNLJTXME2K33VKHGWSA	snapshot	3649235561547	42928893131
WICRYIUTNOYMAUSUBRAQVZTBCRPWMJ4HGC74R5KZCDFDLHCGCG4NBDSYJA	snapshot	3690004413751	0
AE7J2DFIHOUO4SEC5FYKVORIJGYIKV7JW5DQRL62TMCTGU3FZNYZZFQSSE	snapshot	3575027682647	100000000000
ORORC4PHV2IE2QMWMC3UN6WKJSBYNN4JGWV47FQVWKDFPEZYIS5PEDZZIA	snapshot	3664979512430	0
ESHADSBWVGEWO3JTRRXA4RAVZ6L5A4SSZOTBDHAWQCXATYCIQGQYVIFVPY	snapshot	3653017652732	0
GXKM7N3MNASW2VX4I3JDJ5WWI5YEVVGM6VBCB3KCEWNEBTOYQZPYWUZERI	snapshot	3651941111665	0
45LFMHUEJ4VOUSYARMLWF5OMVCRDWYIOGUPUO4DB6HK2CKPIOX2HCQSIUU	snapshot	3644510025350	1000000000
LIVOIC24OM5PVF3YOTFWHYS3AVNAD4YYEMU76IQ63MGUBQIAFWDGRB4EDU	snapshot	3638639009432	0
